인보이스 번호,5540519493,
인보이스 날짜,2026-03-31,
마감일,2026-04-30,
결제 ID,4907-3667-0302,
결제 계정 ID,01DA80-8E7EBE-D7F984,
통화,KRW,
환율,"1,427.87",
총 청구 금액,"₩609,987,414",
결제 계정 이름,결제 계정 ID,프로젝트 이름,프로젝트 ID,프로젝트 계층 구조,서비스 설명,서비스 ID,SKU 설명,SKU ID,소비 모델 설명,크레딧 유형,비용 유형,사용량 시작일,사용량 종료일,사용량,사용량 단위,반올림되지 않은 비용(₩),비용(₩)
lotte-card,016506-5A6913-4D9865,checkinseoul map,shining-wharf-456323-i4,sphinfo.co.kr > lotte card,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,Default,,사용량,2026-03-10,2026-03-31,"1,759",count,0.000000,0
lg-dmst,0171B4-1575B6-A3A335,dmst-LGEUK,dmst-lgeuk,sphinfo.co.kr > lg-dmst,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,Default,,사용량,2026-03-10,2026-03-30,4,count,0.000000,0
samsung-m-gspn,010B50-E40E72-1474C8,samsung-m-gspn-cis-project,samsung-m-gspn-cis-project,sphinfo.co.kr > samsung-m-gspn,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,Default,,사용량,2026-03-10,2026-03-18,2,count,0.000000,0
etc,01E541-1BB125-2312C6,gmp-test-project,gmp-test-project-277107,sphinfo.co.kr > sph-test,AlloyDB,C49F-B7F2-7416,AlloyDB: Network Data Transfer Out Internet Premium between North America and Asia,5F6B-3DF5-A191,,RESELLER_MARGIN,사용량,2026-03-10,2026-03-13,,,-0.000536,-0
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-Acaas-Prod,gmp-acaas-prod,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-10,2026-03-31,,,-1574.826420,-1575
samsung-gsrm,01E448-A8E45E-EBCBBF,samsung-gsrm - project,maps-int-11739052,sphinfo.co.kr,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-03-10,2026-03-31,,,-18582.300180,-18582
cj-korea-express,0168DE-63BE7E-3428BB,cj-korea-express - project,maps-asset-13209027,sphinfo.co.kr,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-03-10,2026-03-31,,,-20942.569284,-20943
webtour,0157E8-7C6094-535293,webtour - project,webtour-project,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-10,2026-03-31,,,-22846.377698,-22846
samsung-sds-cello,015718-816F9E-1B3AED,samsung-sds-cello - project,map-for-work-int-154619931,sphinfo.co.kr > samsung-sds-cello,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-10,2026-03-31,,,-33240.471354,-33240
samsung-store,011DC2-82B7AF-9A735F,samsung-store - project,samsung-store-project,sphinfo.co.kr,Directions API,B7D9-FDCB-15D8,Directions,28A8-3EB4-4595,,RESELLER_MARGIN,사용량,2026-03-10,2026-03-31,,,-56439.988620,-56440
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Places API (New),0776-5E2E-55E3,Places API Text Search Enterprise,E967-44BC-B44D,Default,,사용량,2026-03-09,2026-03-31,"13,700",count,634688.214730,634688
LG-MCS,01C2A4-CF2EC3-F7B6F0,MCS-Global-DEV,mcs-global-dev,sphinfo.co.kr,Google Maps Platform - Routes,0161-1616-FF1D,Routes: Compute Routes Pro,02F7-1B55-DC90,Default,,사용량,2026-03-09,2026-03-24,10,count,142.786996,143
samsung-m-gspn,010B50-E40E72-1474C8,samsung-m-gspn-cn-project,samsung-m-gspn-cn-project,sphinfo.co.kr > samsung-m-gspn,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,Default,,사용량,2026-03-09,2026-03-26,22,count,141.359130,141
Bespinglobal-Socar,01B8A6-ADBFE0-076526,Bespinglobal-socar,bespinglobal-socar,sphinfo.co.kr > bespin-global,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,Default,,사용량,2026-03-09,2026-03-31,87,count,0.000000,0
StudioG,014FAE-441BFE-12B09A,ChiangMaiDRT,chiangmaidrt,sphinfo.co.kr,Places API (New),0776-5E2E-55E3,Places API Text Search Pro,4FDA-34B1-A910,Default,,사용량,2026-03-09,2026-03-09,7,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-AU-PREMIUM-IOS,kia-au-premium-ios,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Places - Nearby Search,6B23-8A17-D29D,Default,,사용량,2026-03-09,2026-03-09,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-AU-PREMIUM-IOS,kia-au-premium-ios,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Basic Data,75D4-C522-326B,Default,,사용량,2026-03-09,2026-03-09,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-AU-PREMIUM-IOS,kia-au-premium-ios,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Atmosphere Data,D63D-5CC5-302A,Default,,사용량,2026-03-09,2026-03-09,1,count,0.000000,0
hyundai-autolink,014334-757ACF-140FE7,autolink-AU-PREMIUM-IOS,kia-au-premium-ios,sphinfo.co.kr > hyundai-autolink,Places API,213C-9623-1402,Contact Data,F095-CD01-81B2,Default,,사용량,2026-03-09,2026-03-09,1,count,0.000000,0
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,BigQuery,24E6-581D-38E5,Analysis,1DF5-1F98-1DD1,Default,,사용량,2026-03-09,2026-03-09,0.001,tebibyte,0.000000,0
hanatour,016740-391F9E-D9ACDA,hanatour - project,map-for-work-ext-125836178,sphinfo.co.kr > hanatour,Places API,213C-9623-1402,Autocomplete - Per Request,7384-2DE4-D388,Default,,사용량,2026-03-09,2026-03-15,64,count,0.000000,0
samsung-m-gspn,010B50-E40E72-1474C8,samsung-m-gspn-cn-project,samsung-m-gspn-cn-project,sphinfo.co.kr > samsung-m-gspn,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,Default,,사용량,2026-03-09,2026-03-26,2,count,0.000000,0
samsung-m-gspn,010B50-E40E72-1474C8,samsung-m-gspn-cn-project,samsung-m-gspn-cn-project,sphinfo.co.kr > samsung-m-gspn,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-26,,,-16.963096,-17
LG-MCS,01C2A4-CF2EC3-F7B6F0,MCS-Global-DEV,mcs-global-dev,sphinfo.co.kr,Google Maps Platform - Routes,0161-1616-FF1D,Routes: Compute Routes Pro,02F7-1B55-DC90,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-24,,,-17.134440,-17
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-SightMind-Prod,sightmind,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-77.961708,-78
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-Protal-Dev,gmp-protal-dev,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-152.325184,-152
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DMpro-QA,dmpro-qa-440204,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-387.772310,-388
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DesignPro-Dev,toolbox-dev-440204,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-30,,,-495.300885,-495
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DMpro-Prod,dmpro-438006,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-635.687742,-636
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DMpro-Dev,dmpro-dev,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-1011.103335,-1011
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-Protal-QA,gmp-protal-qa,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-1036.235178,-1036
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-Protal-Prod,gmp-protal-prod,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-1406.908892,-1407
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-Oncloud-Dev,gmp-oncloud-dev,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-1612.008092,-1612
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-Oncloud-Prod,gmp-oncloud-prod,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-2083.376620,-2083
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-Oncloud-QA,gmp-oncloud-qa,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-8403.267464,-8403
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Places API (New),0776-5E2E-55E3,Places API Place Details Photos,DCD1-FE97-8C71,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-13221.105259,-13221
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DesignPro-Prod,toolbox2-438006,sphinfo.co.kr > hanwha-vision,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-14847.059964,-14847
Samsung Wallet,01BAD0-F21BE8-D5C8FD,Samsung-Wallet-Project,samsung-wallet-project,sphinfo.co.kr,Time Zone API,C250-726E-A553,Time Zone,91DF-9B59-4BBD,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-17651.900088,-17652
seavantage,012E9C-62FE95-B212A6,seavantage - project,maps-asset-59943897,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-28604.748748,-28605
nims,01A1B0-97FF7F-A4FDFC,nims - project,nims-project,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-50483.201044,-50483
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Places API (New),0776-5E2E-55E3,Places API Text Search Enterprise,E967-44BC-B44D,,RESELLER_MARGIN,사용량,2026-03-09,2026-03-31,,,-76162.585865,-76163
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Places API (New),0776-5E2E-55E3,Places API Place Details Photos,DCD1-FE97-8C71,Default,,사용량,2026-03-08,2026-03-31,"12,023",count,110175.876834,110176
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DesignPro-QA,toolbox2-qa,sphinfo.co.kr > hanwha-vision,Places API (New),0776-5E2E-55E3,Places API Text Search Pro,4FDA-34B1-A910,Default,,사용량,2026-03-08,2026-03-31,367,count,3655.347186,3655
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DesignPro-Dev,toolbox-dev-440204,sphinfo.co.kr > hanwha-vision,Places API (New),0776-5E2E-55E3,Places API Text Search Pro,4FDA-34B1-A910,Default,,사용량,2026-03-08,2026-03-29,76,count,2421.667504,2422
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DesignPro-Dev,toolbox-dev-440204,sphinfo.co.kr > hanwha-vision,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,Default,,사용량,2026-03-08,2026-03-30,234,count,1670.607867,1671
Air Incheon,017779-95723B-AE0AC5,Air Incheon,air-incheon,sphinfo.co.kr,Maps Elevation API,11F2-A380-6357,Elevation,B43B-2A59-C153,Default,,사용량,2026-03-08,2026-03-26,124,count,0.000000,0
StudioG,014FAE-441BFE-12B09A,ChiangMaiDRT,chiangmaidrt,sphinfo.co.kr,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,Default,,사용량,2026-03-08,2026-03-31,884,count,0.000000,0
StudioG,014FAE-441BFE-12B09A,ChiangMaiDRT,chiangmaidrt,sphinfo.co.kr,Roads API,3679-7487-549C,Roads - Nearest Road,6108-C697-9EA5,Default,,사용량,2026-03-08,2026-03-31,858,count,0.000000,0
KAMCO,011E4C-42177C-09C320,KAMCO - project,kamco-project,sphinfo.co.kr,Maps Elevation API,11F2-A380-6357,Elevation,B43B-2A59-C153,Default,,사용량,2026-03-08,2026-03-31,37,count,0.000000,0
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Places API (New),0776-5E2E-55E3,Places API Text Search Essentials (IDs Only),635D-A9DD-C520,Default,,사용량,2026-03-08,2026-03-08,60,count,0.000000,0
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Places API (New),0776-5E2E-55E3,Places API Nearby Search Enterprise,772E-9975-BE34,Default,,사용량,2026-03-08,2026-03-31,241,count,0.000000,0
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DesignPro-Dev,toolbox-dev-440204,sphinfo.co.kr > hanwha-vision,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-03-08,2026-03-30,,,-200.472949,-200
samsung-store,011DC2-82B7AF-9A735F,samsung-store - project,samsung-store-project,sphinfo.co.kr,Distance Matrix API,E1D8-71A6-53DE,Distance Matrix,C1B6-FF9D-7700,,RESELLER_MARGIN,사용량,2026-03-08,2026-03-31,,,-29131.974916,-29132
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,Places API,213C-9623-1402,Places Details,FC5C-DF28-543F,Default,,사용량,2026-03-07,2026-03-07,1,count,24.273790,24
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,Places API,213C-9623-1402,Atmosphere Data,D63D-5CC5-302A,Default,,사용량,2026-03-07,2026-03-07,3,count,21.418050,21
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,Places API,213C-9623-1402,Contact Data,F095-CD01-81B2,Default,,사용량,2026-03-07,2026-03-07,4,count,17.134440,17
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,Maps Elevation API,11F2-A380-6357,Elevation,B43B-2A59-C153,Default,,사용량,2026-03-07,2026-03-07,2,count,0.000000,0
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,Places API,213C-9623-1402,Basic Data,75D4-C522-326B,Default,,사용량,2026-03-07,2026-03-07,4,count,0.000000,0
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,Places API,213C-9623-1402,Places - Text Search,E95A-86C7-7F47,Default,,사용량,2026-03-07,2026-03-07,3,count,0.000000,0
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,Directions API,B7D9-FDCB-15D8,Directions,28A8-3EB4-4595,Default,,사용량,2026-03-07,2026-03-07,2,count,0.000000,0
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,Maps Static API,CF79-2786-ADFC,Static Maps,3C2D-B525-2E5F,Default,,사용량,2026-03-07,2026-03-07,2,count,0.000000,0
GSN-Yanolja Group,016093-630C3D-5C03B9,interpark-tour-project,interpark-tour-project,sphinfo.co.kr > GS-Neotek > Interpark-Triple,Maps Static API,CF79-2786-ADFC,Static Maps,3C2D-B525-2E5F,Default,,사용량,2026-03-07,2026-03-07,1,count,0.000000,0
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,Places API,213C-9623-1402,Contact Data,F095-CD01-81B2,,RESELLER_MARGIN,사용량,2026-03-07,2026-03-07,,,-2.056133,-2
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,Places API,213C-9623-1402,Atmosphere Data,D63D-5CC5-302A,,RESELLER_MARGIN,사용량,2026-03-07,2026-03-07,,,-2.570166,-3
coupang,019ED0-3A1D89-455040,coupang-01 - project,map-for-work-ext-102831228,sphinfo.co.kr > coupang,Places API,213C-9623-1402,Places Details,FC5C-DF28-543F,,RESELLER_MARGIN,사용량,2026-03-07,2026-03-07,,,-2.912855,-3
hanatour,016740-391F9E-D9ACDA,hanatour - project,map-for-work-ext-125836178,sphinfo.co.kr > hanatour,Places API,213C-9623-1402,Contact Data,F095-CD01-81B2,,RESELLER_MARGIN,사용량,2026-03-07,2026-03-31,,,-1437.236754,-1437
Hecto Innovation,01E7F9-DB567E-DBC6E2,Hecto-Innovation-gmp,hecto-innovation-gmp,sphinfo.co.kr,Places API (New),0776-5E2E-55E3,Places API Place Details Photos,DCD1-FE97-8C71,,RESELLER_MARGIN,사용량,2026-03-07,2026-03-31,,,-4000.035274,-4000
cj-korea-express,0168DE-63BE7E-3428BB,cj-korea-express - project,maps-asset-13209027,sphinfo.co.kr,Directions API,B7D9-FDCB-15D8,Directions,28A8-3EB4-4595,,RESELLER_MARGIN,사용량,2026-03-07,2026-03-31,,,-14955.795960,-14956
telcomcell,01388C-95D38A-C7D83B,telcomcell - project,maps-ext-34610340,sphinfo.co.kr,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,,RESELLER_MARGIN,사용량,2026-03-07,2026-03-31,,,-35382.619520,-35383
kakao,011DBA-225A54-E38AD6,kakao - kakaostory,kakao-kakaostory,sphinfo.co.kr > kakao,Places API (New),0776-5E2E-55E3,Places API Text Search Pro,4FDA-34B1-A910,,RESELLER_MARGIN,사용량,2026-03-07,2026-03-31,,,-37977.939162,-37978
apqa,014D2C-B956FF-714D9E,apqa - project,maps-asset-86248476,sphinfo.co.kr,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-03-07,2026-03-31,,,-77562.812238,-77563
kakao,011DBA-225A54-E38AD6,kakao - kakaotalk,kakao-kakaotalk,sphinfo.co.kr > kakao,Places API (New),0776-5E2E-55E3,Places API Text Search Pro,4FDA-34B1-A910,,RESELLER_MARGIN,사용량,2026-03-07,2026-03-31,,,-86843.029866,-86843
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DMpro-Dev,dmpro-dev,sphinfo.co.kr > hanwha-vision,Places API,213C-9623-1402,Basic Data,75D4-C522-326B,Default,,사용량,2026-03-06,2026-03-16,11,count,0.000000,0
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DMpro-Dev,dmpro-dev,sphinfo.co.kr > hanwha-vision,Places API,213C-9623-1402,Autocomplete (included with Places Details) - Per Session,E9C9-934B-DDB1,Default,,사용량,2026-03-06,2026-03-16,11,sessions,0.000000,0
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-DMpro-Dev,dmpro-dev,sphinfo.co.kr > hanwha-vision,Places API,213C-9623-1402,Places Details,FC5C-DF28-543F,Default,,사용량,2026-03-06,2026-03-16,11,count,0.000000,0
hanatour,016740-391F9E-D9ACDA,hanatour - project,map-for-work-ext-125836178,sphinfo.co.kr > hanatour,Geolocation API,0245-C3C9-3864,Geolocation,51AF-D64F-9ABD,Default,,사용량,2026-03-06,2026-03-06,1,count,0.000000,0
samsung-sds-cello,015718-816F9E-1B3AED,samsung-sds-cello - project,map-for-work-int-154619931,sphinfo.co.kr > samsung-sds-cello,Places API,213C-9623-1402,Autocomplete without Places Details - Per Session,B52C-8320-6DC5,Default,,사용량,2026-03-06,2026-03-25,6,count,0.000000,0
ssg,01699C-454BDC-B1652D,ssg - project,ssg-project-264502,sphinfo.co.kr,Maps Static API,CF79-2786-ADFC,Static Maps,3C2D-B525-2E5F,,RESELLER_MARGIN,사용량,2026-03-06,2026-03-31,,,-16658.445685,-16658
lg-uplus,01A6B5-6C03AF-18A33F,lguplus - project,lguplus-project,sphinfo.co.kr,Geolocation API,0245-C3C9-3864,Geolocation,51AF-D64F-9ABD,,RESELLER_MARGIN,사용량,2026-03-06,2026-03-31,,,-43065.701496,-43066
ssg,01699C-454BDC-B1652D,ssg - project,ssg-project-264502,sphinfo.co.kr,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-03-06,2026-03-31,,,-45257.196967,-45257
kakao,011DBA-225A54-E38AD6,kakao - kakaotalk,kakao-kakaotalk,sphinfo.co.kr > kakao,Places API (New),0776-5E2E-55E3,Places API Nearby Search Pro,99F9-A108-83A6,,RESELLER_MARGIN,사용량,2026-03-06,2026-03-31,,,-61264.925058,-61265
koreanre,01DE79-524E4C-59EDF4,koreanre - project,maps-int-73043529,sphinfo.co.kr,Places API (New),0776-5E2E-55E3,Places API Nearby Search Pro,99F9-A108-83A6,,RESELLER_MARGIN,사용량,2026-03-06,2026-03-31,,,-62879.282534,-62879
Samsung-NowBrief,01FC72-F64E7A-262327,SmartThings-find-safe,smartthings-find-safe,sphinfo.co.kr > SmartThings,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,,RESELLER_MARGIN,사용량,2026-03-06,2026-03-31,,,-71399.211547,-71399
kakao,011DBA-225A54-E38AD6,kakao - kakaostory,kakao-kakaostory,sphinfo.co.kr > kakao,Places API (New),0776-5E2E-55E3,Places API Nearby Search Pro,99F9-A108-83A6,,RESELLER_MARGIN,사용량,2026-03-06,2026-03-31,,,-194210.947001,-194211
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Places API (New),0776-5E2E-55E3,Places API Place Details Pro,4ED6-464A-2AFC,Default,,사용량,2026-03-05,2026-03-31,"6,432",count,34760.067261,34760
pantos,01EF78-ADF325-25E5D9,Pantos - FLP,pantos-flp,sphinfo.co.kr > pantos,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,Default,,사용량,2026-03-05,2026-03-31,80,count,549.729946,550
samsung-m-gspn,010B50-E40E72-1474C8,samsung-m-gspn-qa-project,samsung-m-gspn-qa-project,sphinfo.co.kr > samsung-m-gspn,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,Default,,사용량,2026-03-05,2026-03-31,19,count,117.085340,117
amorepacific,011C63-46E87C-6D76D6,AP Google Map APIs,continual-rhino-247902,sphinfo.co.kr > amorepacific,Places API,213C-9623-1402,Autocomplete - Per Request,7384-2DE4-D388,Default,,사용량,2026-03-05,2026-03-28,41,count,0.000000,0
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-Oncloud-Dev,gmp-oncloud-dev,sphinfo.co.kr > hanwha-vision,Places API (New),0776-5E2E-55E3,Places API Place Details Enterprise + Atmosphere,EB23-5ECC-F753,Default,,사용량,2026-03-05,2026-03-20,4,count,0.000000,0
hanwha-vision,01D1DD-A1FFE0-D81B3A,GMP-Oncloud-Dev,gmp-oncloud-dev,sphinfo.co.kr > hanwha-vision,Places API (New),0776-5E2E-55E3,Autocomplete Session Usage,EEA3-417B-DBA1,Default,,사용량,2026-03-05,2026-03-20,48,count,0.000000,0
Ground K,0147BD-0C99EC-A7BCCD,GroundK-gmp-project,seismic-mantis-309901,sphinfo.co.kr,Directions API,B7D9-FDCB-15D8,Directions Advanced,9407-00C2-CF85,Default,,사용량,2026-03-05,2026-03-30,72,count,0.000000,0
LG-MCS,01C2A4-CF2EC3-F7B6F0,MCS-Global-DEV,mcs-global-dev,sphinfo.co.kr,Directions API,B7D9-FDCB-15D8,Directions,28A8-3EB4-4595,Default,,사용량,2026-03-05,2026-03-11,4,count,0.000000,0
LG-MCS,01C2A4-CF2EC3-F7B6F0,MCS-Global-DEV,mcs-global-dev,sphinfo.co.kr,Directions API,B7D9-FDCB-15D8,Directions Advanced,9407-00C2-CF85,Default,,사용량,2026-03-05,2026-03-13,15,count,0.000000,0
LG-MCS,01C2A4-CF2EC3-F7B6F0,MCS-Global-DEV,mcs-global-dev,sphinfo.co.kr,Distance Matrix API,E1D8-71A6-53DE,Distance Matrix,C1B6-FF9D-7700,Default,,사용량,2026-03-05,2026-03-09,50,count,0.000000,0
LG-MCS,01C2A4-CF2EC3-F7B6F0,MCS-Global-PROD,mcs-global-prod,sphinfo.co.kr,Places API,213C-9623-1402,Autocomplete - Per Request,7384-2DE4-D388,Default,,사용량,2026-03-05,2026-03-05,16,count,0.000000,0
ntek,014C4E-D20B11-5D9474,N-Information-Tech - Project,n-information-tech-project,sphinfo.co.kr,Google Maps Tile API,8C3B-F556-9F01,Map Tiles API: 2D Map Tiles,0164-F76D-680A,Default,,사용량,2026-03-05,2026-03-26,"1,851",count,0.000000,0
asianaairline,01D1BA-D11336-BCA866,asianaairline - project,map-for-work-asset-01609261,sphinfo.co.kr,Maps Elevation API,11F2-A380-6357,Elevation,B43B-2A59-C153,Default,,사용량,2026-03-05,2026-03-30,84,count,0.000000,0
coupang,019ED0-3A1D89-455040,coupang-04 - project,coupang4-project,sphinfo.co.kr > coupang,Places API,213C-9623-1402,Autocomplete without Places Details - Per Session,B52C-8320-6DC5,Default,,사용량,2026-03-05,2026-03-29,23,count,0.000000,0
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Places API (New),0776-5E2E-55E3,Autocomplete Requests,4EF4-B17C-B31A,Default,,사용량,2026-03-05,2026-03-31,"1,561",count,0.000000,0
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Geocoding API,0AC2-4B25-C429,Geocoding,BAC8-4E68-E261,Default,,사용량,2026-03-05,2026-03-31,"4,984",count,0.000000,0
han-pass,0138A2-EB53FC-5F93D8,han-pass-project,han-pass,sphinfo.co.kr > HanPass,Maps API,1934-AA85-20F9,Dynamic Maps,FAF4-3B2D-51B2,Default,,사용량,2026-03-05,2026-03-31,"1,835",count,0.000000,0
